id,datetime,location,text,rating,accessibility,facility,activity
47d0cdd937754bd6b860f89b2bab1dbb,2022-05-15 11:58:43,Curug Malela,"Akses jalannya waktu itu masih sulit di jangkau, perjalanan menuji curug lumayan jauh",4,negative,neutral,neutral
4804acd6c05e4f89b098e2ca35019419,2022-08-15 11:58:43,Curug Malela,"Perjalanan yg bnr"" bikin Syahduu ,, dr Tempat parkir ke lokasi Curug ,,
Lelahh pun terasa hilang ketika sampe lokasi ,, 🥰🥰 …",5,neutral,neutral,positive
3eae265bf32a45eca31765a4145bc030,2022-03-15 11:58:43,Curug Malela,"Minggu 13 februari 2022 ,

gas santai pakai motor dari dago jam 6:00 sampe parkiran curug jam 9 lebih karena kita disasarin gps, Jika sudah sampai di gunung halu jangan percaya gps, saya di sasarin 😂
Ikuti petunjuk jalan dan tanya warga saja.

Jalan lewat cililin sudah mulai bagus jalannya di cor, tapi ya begitu masih banyak proyek jalan yg blom beres, pada bolong tengah2 jalan ati2 aja..

Oke sudah sampai,
tiket permotor 12rb sudah termasuk tiket masuk, parkir motor 5rb, ditagih pas pulang

harga makanan diparkiran nasi ayam sayur kacang 20rb 😁 gpp larisin guys kasian yg jualan disana pada sepi.

Oke star jalan kaki dari parkiran full trek turunan (wah bakal berat nih pulangnya) jalan santai menikmati view, jalannya lumayan kudu ati2 , sambil ambil video  kita sampai curug 30-40menit.

Di perjalanan banyak warung yang buka namun sayang sepi pembeli karena waktu kami kesana hanya ada kami yang turun dan 3 orang yang naik, tidak berapa lama datang 1 pasangan. Jadi kami tidak sepi2 amat..

Untuk curugnya sendiri bagus, besar, indah bisa di liat di foto, jalan bersih tidak ada sampah, pas kami kesana ada bapa2 petugas yg lg beres2, lapin itu tempat duduk, sasapu, baguss

Namun sayang jembatan tempat foto yang baru2 ini dibuat kayu nya sudah banyak bolong, dan licin, mungkin karena kena cipratan air terus jadi lapuk, kudu di akalin tuh cari bahan yang kuat buat kena air, pokoknya kudu hati2 pisan karena rawan jatoh..

Oke lanjut balik nanjak dikit, ketemu lah sama bapak2 ojek, disitu kami berdiskusi bersama istri mau jalan apa naik ojek aja? Setelah perdebatan panjang akhirnya kami naik ojek 😂😂 dengan tarif awal 35rb kami tawar jadi 30rb

Eh buset ternyata treknya ekstrim, licin, nanjak, tidak tega kami gan 😂😂😂 ya kami tambahin lah buat bapak ojeknya jdi 50rb/motor..

Kalo anda ada rejeki mending cobain dah pengalaman naik ojek ketika pulang dari curug malela sebab worthed bangett,,

Driver ojeknya juga berpengalaman walopun cuma pakai motor vega r tapi bisa antar kami ke atas, btw kami beratnya 97kg gan 😂😂 kasian makanya kami tambahin..

Dan kami pun pulang.. sekian semoga bermanfaat..",5,positive,negative,positive
61037dbdb7b14045be49d4494e95cf05,2022-05-15 11:58:44,Curug Malela,"7 mei 2022
Touring bari mudik
Mntap perjalanan sungguh menangtang namun terbayar dengan indahnya pemandang yg di suguhkan 🤩
Nyampe pulang kesorean saking asyiknya di jln😆",5,positive,neutral,positive
a2c9e817e2b949c6880f971f43a11d2f,2022-08-15 11:58:44,Curug Malela,Perjalanan touring motor dari bekasi melewati Track saguling... Pas sampai curug terbayar kan dengan keindahan panorama alam sekitar curug yang masih asri...,5,neutral,neutral,positive
772bd029c2ce450b94b6fc6f524fbc05,2022-09-15 11:58:44,Curug Malela,"Nyampe 17:30 lnjut kebawah jam 18:00 mantap suasana 1 safar,..",5,neutral,neutral,positive
c26ac69c5b9748f898ccf96176ba1f56,2022-10-15 11:58:44,Curug Malela,"Sangat indah meskipun airnya keruh karena sedang musim hujan
Walaupun dengan perjuangan yang luar biasa, tapi hilang lelah begitu sampai lokasi
Cuma karena efek pandemi, jadi saung2 pada rusak, akses kurang terawat
Ayoo bangkit lagiii @KBB",5,positive,negative,positive
aae35d8318fa4b62bd68be3fd39151b6,2022-07-15 11:58:44,Curug Malela,"Perjalanan lumayan lelah tapi sangat memuaskan pas sampe lokasi...wow pokoknya 😍
Saya datang pas posisi abis banjir, Alhamdulillah pas Dateng cuaca mendukung untuk berkunjung 😊 …",5,positive,neutral,neutral
315a11d28f894aeebce46b0b95b2a14f,2022-12-15 11:58:44,Curug Malela,"We visit here in 2016. Lokasinya cukup jauh di bandung barat. Menuju curugnya perlu jalan 1-2km, jalurnya menyejukkan mata. Curug malela versi mini Niagara Fall nya di Canada. Bagus utk foto hunting.",5,positive,neutral,positive
78d4fb745a7e40e5912bfd7d635721ea,2022-06-15 11:58:44,Curug Malela,"Tiket masuk per org 5 rb , parkir mobil 6 rb .. akses jalan menuju kecurug tolong di perbaiki lagi supaya lebih mudah tuk di lewati , Pemandangan di Curug nya asri sekali begituh juga Curug nya indah bangetttt .. memuaskan 😎👍 …",5,negative,neutral,positive
e9dbd3873bdc404d96246e964726da39,2022-02-15 11:58:44,Curug Malela,"Lokasi Di Kec Rongga Kab Bandung Barat. Akses menuju lokasi untuk saat ini bagus karena melewati kebon teh dengan pemandangan eksotis dan udara sejuk, sehingga sangat cocok untuk yang mau menenangkan pikiran.
Hanya kalau untuk bawa mobil siap2 untuk parkir apalagi ketika musim liburan karena keterbatasan area parkir.
Tiket masuk berkisar antara Rp 5.000 - Rp 10.000 perorang dan tiket masuk kendaraan.
Dari pintu masuk kita harus jalan kaki melewati jalan setapak dengan akses yang menurun dengan medan jalan tanah sampai ke Curug, kurang lebih 30-40 menit tergantung kecepatan jalan.
Sampai dilokasi kita akan disuguhkan Curug dengan model curug Niagara dengab debit air normal karena waktu itu sedang tidak turun hujan.
Lokasi luas sehingga bisa exsplor, namun jangan masuk ke area tengah dikarenkan batu licin ditakutkan terjadi insiden yang tidak diinginkan.
Kalau lapar atau haus dari pintu masuk sampai ke lokasi tersedia berbagai macam makanan dan minuman sehingga jangan takut kelaparan, atau bisa juga bawa bekal dengan harga yang standar.
Sayangnya waktu itu di lokasi masih kurang terawat sehingga nampak sampah berserakan sehingga mengurangi estetika dari Curug itu sendiri.
Hunting Poto bagus bages, jangan sampai terlewat
Baiknya datang ketika musim kemarau mengingat akses dan debit air yang kadang bisa berubah sewaktu-waktu.
Puas menikmati destinasinya waktunya pulang, eit ingat pulangnya nanjak loe sampai atas. Tapi ada alternatif ojek yang bisa dipakai dengan htm Rp 20.000-Rp 30.000 sampai pintu masuk.
Happy holiday",4,positive,positive,positive
29a1ca0ebdf84aef8e6e49b95a240efe,2022-02-15 11:58:44,Curug Malela,"Tempatnya bagus dan saya suka. Untuk turun dan naik menuju curug Malela sungguh luar biasa, perlu stamina dan tenaga. Tapi terbayar dengan curugnya.",4,negative,neutral,positive
82a4d407f287440d81e804e96c044a18,2021-02-15 11:58:44,Curug Malela,"Air terjun super keren...
sayang aja akses jalannya masih tidak layak jalan.
tarif ojek malela 30.000 ampuuun....",1,negative,neutral,positive
